ts;raw;calc
2017.06.28 19:20:40:056;26.64;20.94
2017.06.28 19:20:41:782;26.63;20.94
2017.06.28 19:20:42:879;26.63;20.93
2017.06.28 19:20:43:938;26.63;20.93
2017.06.28 19:20:45:088;26.62;20.93
2017.06.28 19:20:46:216;26.62;20.93
2017.06.28 19:20:47:280;26.62;20.93
2017.06.28 19:20:48:362;26.62;20.92
2017.06.28 19:20:49:493;26.61;20.92
2017.06.28 19:20:50:618;26.61;20.92
2017.06.28 19:20:51:847;26.61;20.92
2017.06.28 19:20:53:407;26.61;20.92
2017.06.28 19:20:54:677;26.61;20.92
2017.06.28 19:20:55:738;26.6;20.92
2017.06.28 19:20:56:799;26.61;20.92
2017.06.28 19:20:57:885;26.61;20.92
2017.06.28 19:20:58:947;26.61;20.92
2017.06.28 19:21:00:244;26.61;20.92
2017.06.28 19:21:01:305;26.61;20.92
2017.06.28 19:21:02:394;26.61;20.92
2017.06.28 19:21:03:521;26.61;20.92
2017.06.28 19:21:04:583;26.61;20.92
2017.06.28 19:21:05:668;26.6;20.92
2017.06.28 19:21:06:797;26.6;20.91
2017.06.28 19:21:07:924;26.6;20.91
2017.06.28 19:21:08:995;26.6;20.91
2017.06.28 19:21:10:057;26.6;20.91
2017.06.28 19:21:11:150;26.6;20.91
2017.06.28 19:21:12:222;26.6;20.91
2017.06.28 19:21:13:351;26.6;20.91
2017.06.28 19:21:14:414;26.6;20.91
2017.06.28 19:21:15:498;26.61;20.92
2017.06.28 19:21:16:561;26.61;20.92
2017.06.28 19:21:17:648;26.61;20.92
2017.06.28 19:21:18:778;26.61;20.92
2017.06.28 19:21:19:905;26.61;20.92
2017.06.28 19:21:21:031;26.62;20.92
2017.06.28 19:21:22:094;26.62;20.93
2017.06.28 19:21:23:178;26.62;20.93
2017.06.28 19:21:24:307;26.62;20.93
2017.06.28 19:21:25:434;26.62;20.93
2017.06.28 19:21:26:562;26.62;20.93
2017.06.28 19:21:27:687;26.63;20.93
2017.06.28 19:21:28:813;26.63;20.94
2017.06.28 19:21:29:940;26.64;20.94
2017.06.28 19:21:31:003;26.64;20.94
2017.06.28 19:21:32:087;26.64;20.94
2017.06.28 19:21:33:217;26.64;20.94
2017.06.28 19:21:34:343;26.65;20.95
2017.06.28 19:21:35:470;26.65;20.95
2017.06.28 19:21:36:596;26.65;20.95
2017.06.28 19:21:37:657;26.65;20.95
2017.06.28 19:21:38:951;26.65;20.95
2017.06.28 19:21:40:012;26.65;20.95
2017.06.28 19:21:41:099;26.65;20.95
2017.06.28 19:21:42:228;26.65;20.95
2017.06.28 19:21:43:355;26.65;20.95
2017.06.28 19:21:44:420;26.65;20.95
2017.06.28 19:21:45:501;26.65;20.95
2017.06.28 19:21:46:566;26.65;20.95
2017.06.28 19:21:47:651;26.65;20.95
2017.06.28 19:21:48:782;26.65;20.95
2017.06.28 19:21:49:844;26.64;20.95
2017.06.28 19:21:50:942;26.64;20.94
2017.06.28 19:21:52:005;26.64;20.94
2017.06.28 19:21:53:067;26.64;20.94
2017.06.28 19:21:54:212;26.64;20.94
2017.06.28 19:21:55:335;26.64;20.94
2017.06.28 19:22:09:523;26.64;20.94
2017.06.28 19:22:10:699;26.64;20.94
2017.06.28 19:22:11:765;26.64;20.94
2017.06.28 19:22:12:842;26.64;20.94
2017.06.28 19:22:13:972;26.64;20.94
2017.06.28 19:22:15:031;26.64;20.95
2017.06.28 19:22:16:092;26.65;20.95
2017.06.28 19:22:17:156;26.65;20.95
2017.06.28 19:22:18:224;26.65;20.95
2017.06.28 19:22:19:292;26.65;20.95
2017.06.28 19:22:20:423;26.65;20.95
2017.06.28 19:22:21:484;26.66;20.95
2017.06.28 19:22:22:734;26.65;20.95
2017.06.28 19:22:23:818;26.65;20.95
2017.06.28 19:22:24:881;26.65;20.95
2017.06.28 19:22:26:056;26.65;20.95
2017.06.28 19:22:27:182;26.65;20.95
2017.06.28 19:22:28:309;26.65;20.95
2017.06.28 19:22:29:435;26.64;20.94
2017.06.28 19:22:30:561;26.64;20.94
2017.06.28 19:22:31:688;26.64;20.94
2017.06.28 19:22:32:814;26.63;20.94
2017.06.28 19:22:33:941;26.63;20.94
2017.06.28 19:22:35:067;26.63;20.93
2017.06.28 19:22:36:193;26.63;20.93
2017.06.28 19:22:37:259;26.63;20.93
2017.06.28 19:22:38:341;26.63;20.93
2017.06.28 19:22:39:470;26.63;20.93
2017.06.28 19:22:40:531;26.63;20.94
2017.06.28 19:22:41:591;26.63;20.94
2017.06.28 19:22:42:747;26.64;20.94
2017.06.28 19:22:43:874;26.64;20.94
2017.06.28 19:22:45:002;26.64;20.94
2017.06.28 19:22:46:066;26.65;20.95
2017.06.28 19:22:47:127;26.65;20.95
2017.06.28 19:22:48:276;26.66;20.95
2017.06.28 19:22:49:403;26.66;20.96
2017.06.28 19:22:50:495;26.67;20.96
2017.06.28 19:22:51:698;26.67;20.97
2017.06.28 19:22:52:777;26.67;20.97
2017.06.28 19:22:53:855;26.68;20.97
2017.06.28 19:22:54:928;26.69;20.98
2017.06.28 19:22:55:991;26.69;20.98
2017.06.28 19:22:57:051;26.69;20.98
2017.06.28 19:22:58:217;26.7;20.98
2017.06.28 19:22:59:282;26.7;20.99
2017.06.28 19:23:00:345;26.7;20.99
2017.06.28 19:23:01:412;26.7;20.99
2017.06.28 19:23:02:473;26.71;20.99
2017.06.28 19:23:03:637;26.71;21
2017.06.28 19:23:04:763;26.72;21
2017.06.28 19:23:05:897;26.72;21
2017.06.28 19:23:06:964;26.72;21
2017.06.28 19:23:08:026;26.72;21.01
2017.06.28 19:23:09:166;26.73;21.01
2017.06.28 19:23:10:292;26.73;21.01
2017.06.28 19:23:11:355;26.73;21.01
2017.06.28 19:23:12:440;26.73;21.01
2017.06.28 19:23:13:570;26.73;21.01
2017.06.28 19:23:14:695;26.73;21.01
2017.06.28 19:23:15:822;26.73;21.01
2017.06.28 19:23:16:884;26.73;21.01
2017.06.28 19:23:17:968;26.73;21.01
2017.06.28 19:23:19:099;26.74;21.01
2017.06.28 19:23:20:226;26.74;21.01
2017.06.28 19:23:21:306;26.74;21.02
2017.06.28 19:23:22:601;26.74;21.02
2017.06.28 19:23:23:652;26.74;21.02
2017.06.28 19:23:24:727;26.74;21.02
2017.06.28 19:23:25:859;26.74;21.02
2017.06.28 19:23:26:922;26.74;21.02
2017.06.28 19:23:27:984;26.74;21.01
2017.06.28 19:23:29:134;26.74;21.02
2017.06.28 19:23:30:260;26.74;21.02
2017.06.28 19:23:31:387;26.74;21.02
2017.06.28 19:23:32:514;26.74;21.02
2017.06.28 19:23:33:640;26.75;21.02
2017.06.28 19:23:34:767;26.75;21.02
2017.06.28 19:23:35:827;26.75;21.03
2017.06.28 19:23:36:911;26.75;21.03
2017.06.28 19:23:38:043;26.76;21.03
